tamilnadu,south,north
600126,500100,121101
600126,500101,121101
600127,500101,121101
600127,500103,121101
600127,500105,121101
600127,500107,121101
600127,501101,121101
600127,501102,121101
600128,501102,121101
600129,501102,121101
600130,501102,121101
600132,501102,121101
601101,501102,121101
601102,501102,121101
601102,501106,121101
601103,501106,121101
601103,501111,121101
601103,501121,121101
601201,501121,121101
601201,501121,121102
601201,501141,121102
601202,501141,121102
601202,501142,121102
601203,501142,121102
601203,501143,121102
601204,501143,121102
601204,501144,121102
601205,501144,121102
601205,501158,121102
601206,501158,121102
601206,501158,121103
601206,501202,121103
601301,501202,121103
602001,501202,121103
602002,501203,121103
602003,501203,121103
602021,501203,121103
602021,501218,121103
602021,501218,121105
602023,501218,121105
602023,501301,121105
602023,501301,121106
602024,501301,121106
602024,501359,121106
602024,501359,121107
602025,501359,121107
602026,501359,121107
602026,501401,121107
602026,501401,122001
602105,501401,122002
602105,501401,122003
602105,501401,122004
602105,501401,122005
602105,501401,122006
602105,501401,122007
602106,501401,122008
602106,501401,122009
602106,501401,122010
602106,501401,122011
602106,501401,122015
602106,501401,122016
602106,501401,122017
602106,501401,122018
602106,501401,122051
602108,501501,122051
602108,501501,122052
602108,501501,122101
602117,501501,122101
603001,501501,122101
603002,501501,122101
603002,501501,122102
603003,501501,122102
603003,501501,122103
603004,501501,122103
603101,501501,122103
603102,501501,122103
603102,501502,122103
603102,501503,122103
603103,501503,122103
603104,501503,122103
603105,501503,122103
603105,501503,122104
603105,501504,122104
603106,501504,122104
603106,501505,122104
603107,501505,122104
603107,501505,122105
603107,501506,122105
603107,501508,122105
603108,501508,122105
603108,501509,122105
603109,501509,122105
603109,501510,122105
603109,501511,122107
603109,501512,122107
603109,502001,122107
603110,502032,122107
603111,502101,122107
603111,502102,122107
603112,502102,122107
603127,502102,122107
603201,502102,122107
603202,502102,122108
603203,502102,122108
603203,502103,122108
603203,502107,122108
603204,502107,122108
603204,502108,122108
603209,502108,122108
603210,502108,122108
603211,502108,122108
603301,502108,122108
603301,502108,122413
603301,502109,122413
603302,502109,122413
603302,502109,122414
603303,502109,122414
603303,502109,122502
603304,502109,122502
603304,502110,122502
603305,502110,122502
603306,502110,122502
603306,502110,122503
603307,502110,122503
603307,502113,122504
603308,502113,122504
603308,502113,122505
603309,502113,122505
603309,502113,122506
603310,502113,122506
603310,502114,122506
603310,502114,122508
603311,502114,122508
603312,502115,122508
603312,502117,122508
603313,502117,122508
603314,502117,122508
603314,502125,122508
603319,502125,122508
603319,502130,122508
603401,502130,122508
603401,502205,122508
603401,502210,122508
603402,502210,122508
603402,502210,123001
603403,502210,123001
603403,502220,123001
603405,502220,123001
603405,502221,123001
603406,502221,123001
603406,502228,123001
603406,502246,123001
604001,502246,123001
604101,502246,123001
604101,502247,123001
604101,502247,123021
604102,502247,123021
604102,502248,123021
604151,502248,123021
604151,502249,123021
604151,502249,123023
604151,502251,123023
604151,502255,123023
604152,502255,123023
604152,502255,123024
604152,502255,123027
604152,502256,123027
604153,502256,123027
604153,502256,123028
604154,502256,123029
604154,502257,123029
604201,502257,123029
604201,502257,123034
604201,502267,123034
604201,502269,123034
604201,502269,123035
604202,502269,123035
604202,502270,123035
604202,502270,123101
604203,502270,123101
604203,502270,123102
604203,502271,123103
604203,502271,123106
604204,502271,123106
604204,502271,123110
604204,502271,123301
604204,502273,123301
604204,502273,123302
604204,502276,123302
604204,502276,123303
604204,502277,123303
604204,502277,123401
604205,502277,123401
604205,502278,123401
604206,502278,123401
604206,502279,123401
604207,502279,123401
604207,502280,123401
604207,502280,123411
604207,502281,123411
604207,502285,123412
604207,502285,123501
604207,502286,123501
604208,502286,123501
604210,502286,123501
604210,502286,124001
604210,502286,124010
604210,502286,124021
604210,502286,124022
604210,502286,124102
604301,502286,124102
604301,502286,124103
604301,502287,124103
604301,502287,124104
604302,502290,124105
604302,502290,124106
604302,502291,124106
604302,502291,124107
604303,502291,124107
604303,502291,124108
604303,502291,124109
604303,502293,124109
604304,502293,124109
604304,502293,124111
604304,502293,124112
604304,502294,124112
604304,502294,124113
604304,502295,124113
604305,502295,124113
604305,502295,124141
604305,502295,124142
604305,502295,124146
604306,502295,124146
604306,502296,124146
604306,502296,124201
604306,502296,124202
604306,502296,124303
604307,502296,124303
604307,502296,124401
604307,502296,124404
604307,502296,124406
604307,502300,124406
604307,502300,124411
604401,502300,124411
604401,502300,124412
604401,502300,124501
604401,502301,124501
604402,502301,124501
604402,502302,124501
604402,502302,124504
604402,502302,124505
604402,502302,124506
604402,502302,124507
604402,502302,124508
604403,502302,124508
604403,502303,124508
604403,502303,124513
604403,502303,124514
604403,502305,124514
604403,502306,124514
604404,502306,124514
604404,502306,125001
604405,502306,125001
604405,502307,125001
604405,502307,125004
604405,502310,125004
604406,502310,125004
604406,502311,125004
604406,502311,125005
604406,502312,125005
604406,502313,125005
604407,502313,125005
604407,502313,125006
604407,502313,125007
604407,502313,125011
604407,502313,125033
604408,502313,125033
604408,502313,125037
604408,502313,125038
604408,502314,125038
604408,502314,125039
604408,502316,125039
604409,502316,125039
604409,502316,125042
